					CZCE History data(2021AP)
Trading Day|Contract Code|Prev.Settle|Open     |High     |Low      |Close    |Settlement|Change1   |Change2   |Volume    |OpenInterest|OI Change|Turnover     |DeliverySettlementPrice
2021-01-04 |AP101        |6,012.00   |5,850.00 |5,950.00 |5,651.00 |5,651.00 |5,762.00  |-361.00   |-250.00   |597       |212         |-556     |3,440.06     |6,044.00               
2021-01-04 |AP103        |6,130.00   |6,112.00 |6,135.00 |5,880.00 |5,897.00 |5,976.00  |-233.00   |-154.00   |24,959    |32,994      |1,733    |149,160.71   |                       
2021-01-04 |AP105        |6,627.00   |6,630.00 |6,680.00 |6,437.00 |6,461.00 |6,527.00  |-166.00   |-100.00   |403,418   |293,296     |42,231   |2,632,913.48 |                       
2021-01-04 |AP110        |7,071.00   |7,076.00 |7,099.00 |7,000.00 |7,009.00 |7,036.00  |-62.00    |-35.00    |16,137    |42,013      |1,676    |113,542.11   |                       
2021-01-04 |AP111        |6,895.00   |6,915.00 |6,915.00 |6,850.00 |6,870.00 |6,875.00  |-25.00    |-20.00    |794       |3,476       |197      |5,458.91     |                       
2021-01-04 |AP112        |6,890.00   |6,910.00 |6,920.00 |6,850.00 |6,858.00 |6,874.00  |-32.00    |-16.00    |572       |2,609       |114      |3,931.81     |                       
2021-01-05 |AP101        |5,762.00   |5,700.00 |5,700.00 |5,445.00 |5,600.00 |5,621.00  |-162.00   |-141.00   |76        |157         |-55      |427.22       |5,995.00               
2021-01-05 |AP103        |5,976.00   |5,901.00 |5,925.00 |5,789.00 |5,862.00 |5,846.00  |-114.00   |-130.00   |23,889    |30,765      |-2,229   |139,662.61   |                       
2021-01-05 |AP105        |6,527.00   |6,461.00 |6,488.00 |6,318.00 |6,337.00 |6,381.00  |-190.00   |-146.00   |414,076   |296,057     |2,761    |2,642,313.60 |                       
2021-01-05 |AP110        |7,036.00   |7,025.00 |7,045.00 |6,657.00 |6,672.00 |6,820.00  |-364.00   |-216.00   |63,513    |54,301      |12,288   |433,161.41   |                       
2021-01-05 |AP111        |6,875.00   |6,865.00 |6,881.00 |6,561.00 |6,593.00 |6,685.00  |-282.00   |-190.00   |2,334     |4,128       |652      |15,602.14    |                       
2021-01-05 |AP112        |6,874.00   |6,870.00 |6,879.00 |6,610.00 |6,623.00 |6,718.00  |-251.00   |-156.00   |1,746     |3,243       |634      |11,730.48    |                       
2021-01-06 |AP101        |5,621.00   |5,638.00 |5,700.00 |5,555.00 |5,696.00 |5,640.00  |75.00     |19.00     |22        |125         |-32      |124.07       |5,944.00               
2021-01-06 |AP103        |5,846.00   |5,860.00 |5,888.00 |5,813.00 |5,883.00 |5,857.00  |37.00     |11.00     |12,393    |30,516      |-249     |72,587.24    |                       
2021-01-06 |AP105        |6,381.00   |6,337.00 |6,380.00 |6,305.00 |6,339.00 |6,343.00  |-42.00    |-38.00    |289,310   |293,421     |-2,636   |1,835,102.11 |                       
2021-01-06 |AP110        |6,820.00   |6,643.00 |6,668.00 |6,470.00 |6,487.00 |6,559.00  |-333.00   |-261.00   |77,384    |62,608      |8,307    |507,596.32   |                       
2021-01-06 |AP111        |6,685.00   |6,585.00 |6,597.00 |6,388.00 |6,425.00 |6,482.00  |-260.00   |-203.00   |2,872     |4,747       |619      |18,617.51    |                       
2021-01-06 |AP112        |6,718.00   |6,621.00 |6,630.00 |6,430.00 |6,463.00 |6,530.00  |-255.00   |-188.00   |2,160     |3,359       |116      |14,104.08    |                       
2021-01-07 |AP101        |5,640.00   |5,315.00 |5,556.00 |5,315.00 |5,555.00 |5,507.00  |-85.00    |-133.00   |10        |104         |-21      |55.07        |5,886.00               
2021-01-07 |AP103        |5,857.00   |5,880.00 |5,938.00 |5,819.00 |5,882.00 |5,873.00  |25.00     |16.00     |14,069    |29,424      |-1,092   |82,628.51    |                       
2021-01-07 |AP105        |6,343.00   |6,340.00 |6,416.00 |6,221.00 |6,377.00 |6,329.00  |34.00     |-14.00    |494,925   |294,512     |1,091    |3,132,321.49 |                       
2021-01-07 |AP110        |6,559.00   |6,466.00 |6,616.00 |6,452.00 |6,552.00 |6,523.00  |-7.00     |-36.00    |56,823    |64,214      |1,606    |370,649.84   |                       
2021-01-07 |AP111        |6,482.00   |6,420.00 |6,510.00 |6,398.00 |6,487.00 |6,448.00  |5.00      |-34.00    |1,610     |4,972       |225      |10,380.59    |                       
2021-01-07 |AP112        |6,530.00   |6,460.00 |6,560.00 |6,446.00 |6,552.00 |6,508.00  |22.00     |-22.00    |1,103     |3,481       |122      |7,178.20     |                       
2021-01-08 |AP101        |5,507.00   |5,600.00 |5,700.00 |5,600.00 |5,600.00 |5,654.00  |93.00     |147.00    |18        |72          |-32      |101.78       |5,846.00               
2021-01-08 |AP103        |5,873.00   |5,888.00 |5,894.00 |5,826.00 |5,865.00 |5,865.00  |-8.00     |-8.00     |7,975     |28,445      |-979     |46,774.89    |                       
2021-01-08 |AP105        |6,329.00   |6,368.00 |6,409.00 |6,284.00 |6,330.00 |6,350.00  |1.00      |21.00     |323,875   |279,079     |-15,433  |2,056,530.15 |                       
2021-01-08 |AP110        |6,523.00   |6,570.00 |6,575.00 |6,481.00 |6,555.00 |6,535.00  |32.00     |12.00     |32,444    |65,553      |1,339    |212,034.73   |                       
2021-01-08 |AP111        |6,448.00   |6,490.00 |6,514.00 |6,453.00 |6,503.00 |6,491.00  |55.00     |43.00     |1,209     |4,745       |-227     |7,847.71     |                       
2021-01-08 |AP112        |6,508.00   |6,550.00 |6,560.00 |6,500.00 |6,550.00 |6,534.00  |42.00     |26.00     |670       |3,489       |8        |4,378.10     |                       
