					ZCE Futures Historical Data(2023AP)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2023-01-03 |AP301        |8,646.00   |8,800.00 |9,345.00 |8,661.00 |9,001.00 |9,021.00  |355.00    |375.00    |144       |107         |-107     |1,298.97     |8,689.00               
2023-01-03 |AP303        |8,284.00   |8,305.00 |8,586.00 |8,300.00 |8,586.00 |8,486.00  |302.00    |202.00    |8,129     |29,539      |-2,084   |68,985.41    |                       
2023-01-03 |AP304        |8,058.00   |8,058.00 |8,484.00 |8,058.00 |8,484.00 |8,376.00  |426.00    |318.00    |2,342     |21,181      |-859     |19,616.25    |                       
2023-01-03 |AP305        |7,872.00   |7,920.00 |8,358.00 |7,915.00 |8,351.00 |8,226.00  |479.00    |354.00    |269,484   |206,088     |34,044   |2,216,829.19 |                       
2023-01-03 |AP310        |8,175.00   |8,244.00 |8,352.00 |8,199.00 |8,336.00 |8,295.00  |161.00    |120.00    |4,537     |23,354      |-1,320   |37,636.45    |                       
2023-01-03 |AP311        |7,993.00   |8,070.00 |8,190.00 |8,058.00 |8,178.00 |8,140.00  |185.00    |147.00    |107       |10,066      |-15      |871.00       |                       
2023-01-03 |AP312        |8,067.00   |8,211.00 |8,211.00 |8,190.00 |8,191.00 |8,195.00  |124.00    |128.00    |5         |4,212       |-1       |40.97        |                       
2023-01-04 |AP301        |9,021.00   |9,085.00 |9,251.00 |9,085.00 |9,251.00 |9,148.00  |230.00    |127.00    |30        |83          |-24      |274.43       |8,738.00               
2023-01-04 |AP303        |8,486.00   |8,563.00 |8,666.00 |8,512.00 |8,653.00 |8,595.00  |167.00    |109.00    |5,027     |29,104      |-435     |43,205.59    |                       
2023-01-04 |AP304        |8,376.00   |8,461.00 |8,530.00 |8,420.00 |8,507.00 |8,469.00  |131.00    |93.00     |1,304     |20,432      |-749     |11,043.88    |                       
2023-01-04 |AP305        |8,226.00   |8,351.00 |8,380.00 |8,282.00 |8,378.00 |8,330.00  |152.00    |104.00    |155,469   |195,235     |-10,853  |1,295,067.58 |                       
2023-01-04 |AP310        |8,295.00   |8,330.00 |8,395.00 |8,296.00 |8,362.00 |8,329.00  |67.00     |34.00     |2,703     |22,851      |-503     |22,513.11    |                       
2023-01-04 |AP311        |8,140.00   |8,225.00 |8,225.00 |8,126.00 |8,201.00 |8,158.00  |61.00     |18.00     |209       |10,208      |142      |1,704.92     |                       
2023-01-04 |AP312        |8,195.00   |8,212.00 |8,238.00 |8,166.00 |8,238.00 |8,220.00  |43.00     |25.00     |703       |4,912       |700      |5,778.87     |                       
2023-01-05 |AP301        |9,148.00   |9,487.00 |9,487.00 |9,051.00 |9,051.00 |9,351.00  |-97.00    |203.00    |28        |67          |-16      |261.82       |8,815.00               
2023-01-05 |AP303        |8,595.00   |8,650.00 |8,804.00 |8,599.00 |8,609.00 |8,725.00  |14.00     |130.00    |7,015     |28,922      |-182     |61,208.78    |                       
2023-01-05 |AP304        |8,469.00   |8,528.00 |8,676.00 |8,509.00 |8,523.00 |8,630.00  |54.00     |161.00    |1,439     |20,063      |-369     |12,418.90    |                       
2023-01-05 |AP305        |8,330.00   |8,382.00 |8,545.00 |8,349.00 |8,408.00 |8,467.00  |78.00     |137.00    |219,767   |200,083     |4,848    |1,860,846.30 |                       
2023-01-05 |AP310        |8,329.00   |8,352.00 |8,400.00 |8,322.00 |8,339.00 |8,361.00  |10.00     |32.00     |3,476     |23,349      |498      |29,062.03    |                       
2023-01-05 |AP311        |8,158.00   |8,193.00 |8,280.00 |8,167.00 |8,190.00 |8,222.00  |32.00     |64.00     |320       |10,084      |-124     |2,631.11     |                       
2023-01-05 |AP312        |8,220.00   |8,220.00 |8,305.00 |8,192.00 |8,220.00 |8,226.00  |0.00      |6.00      |676       |4,385       |-527     |5,561.03     |                       
2023-01-06 |AP301        |9,351.00   |9,002.00 |9,761.00 |9,002.00 |9,032.00 |9,174.00  |-319.00   |-177.00   |5         |65          |-2       |45.87        |8,878.00               
2023-01-06 |AP303        |8,725.00   |8,571.00 |8,677.00 |8,571.00 |8,645.00 |8,631.00  |-80.00    |-94.00    |3,384     |28,612      |-310     |29,206.45    |                       
2023-01-06 |AP304        |8,630.00   |8,539.00 |8,590.00 |8,467.00 |8,551.00 |8,543.00  |-79.00    |-87.00    |986       |20,042      |-21      |8,423.44     |                       
2023-01-06 |AP305        |8,467.00   |8,387.00 |8,465.00 |8,346.00 |8,433.00 |8,413.00  |-34.00    |-54.00    |148,577   |195,389     |-4,694   |1,249,963.66 |                       
2023-01-06 |AP310        |8,361.00   |8,330.00 |8,387.00 |8,312.00 |8,343.00 |8,359.00  |-18.00    |-2.00     |1,531     |23,114      |-235     |12,797.12    |                       
2023-01-06 |AP311        |8,222.00   |8,182.00 |8,230.00 |8,174.00 |8,192.00 |8,209.00  |-30.00    |-13.00    |23        |10,076      |-8       |188.81       |                       
2023-01-06 |AP312        |8,226.00   |8,226.00 |8,226.00 |8,224.00 |8,224.00 |8,226.00  |-2.00     |0.00      |40        |4,425       |40       |329.04       |                       
2023-01-09 |AP301        |9,174.00   |9,260.00 |9,260.00 |9,157.00 |9,157.00 |9,209.00  |-17.00    |35.00     |2         |64          |-1       |18.42        |8,941.00               
2023-01-09 |AP303        |8,631.00   |8,694.00 |8,793.00 |8,597.00 |8,631.00 |8,669.00  |0.00      |38.00     |3,969     |28,017      |-595     |34,406.05    |                       
2023-01-09 |AP304        |8,543.00   |8,548.00 |8,709.00 |8,521.00 |8,535.00 |8,574.00  |-8.00     |31.00     |956       |19,577      |-465     |8,196.44     |                       
2023-01-09 |AP305        |8,413.00   |8,480.00 |8,623.00 |8,383.00 |8,431.00 |8,459.00  |18.00     |46.00     |134,605   |197,186     |1,797    |1,138,562.01 |                       
2023-01-09 |AP310        |8,359.00   |8,384.00 |8,454.00 |8,346.00 |8,393.00 |8,382.00  |34.00     |23.00     |2,942     |24,747      |1,633    |24,660.79    |                       
2023-01-09 |AP311        |8,209.00   |8,251.00 |8,256.00 |8,184.00 |8,246.00 |8,210.00  |37.00     |1.00      |116       |10,150      |74       |952.38       |                       
2023-01-09 |AP312        |8,226.00   |8,346.00 |8,346.00 |8,214.00 |8,278.00 |8,230.00  |52.00     |4.00      |16        |4,439       |14       |131.67       |                       
2023-01-10 |AP301        |9,209.00   |9,100.00 |9,100.00 |9,100.00 |9,100.00 |9,100.00  |-109.00   |-109.00   |1         |64          |0        |9.10         |8,980.00               
2023-01-10 |AP303        |8,669.00   |8,620.00 |8,651.00 |8,598.00 |8,645.00 |8,628.00  |-24.00    |-41.00    |1,489     |27,341      |-676     |12,847.01    |                       
2023-01-10 |AP304        |8,574.00   |8,550.00 |8,580.00 |8,501.00 |8,567.00 |8,540.00  |-7.00     |-34.00    |640       |19,276      |-301     |5,465.87     |                       
2023-01-10 |AP305        |8,459.00   |8,428.00 |8,454.00 |8,365.00 |8,440.00 |8,418.00  |-19.00    |-41.00    |99,914    |187,106     |-10,080  |841,114.46   |                       
2023-01-10 |AP310        |8,382.00   |8,385.00 |8,413.00 |8,362.00 |8,409.00 |8,389.00  |27.00     |7.00      |2,115     |24,171      |-576     |17,743.64    |                       
2023-01-10 |AP311        |8,210.00   |8,250.00 |8,250.00 |8,210.00 |8,242.00 |8,229.00  |32.00     |19.00     |241       |9,919       |-231     |1,983.17     |                       
