					ZCE Options Historical Data(2023AP)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.   |OI Change|Turnover (RMB 10,000)|DELTA     |Implied Volatility|Exercise Volume
2023-10-20 |AP401C10000  |15.00       |36.00    |42.00    |33.00    |41.50    |37.50     |26.50     |22.50     |113       |88           |88       |4.37      |0.1246    |20.66             |0                              
2023-10-20 |AP401C10200  |6.00        |25.00    |28.50    |25.00    |28.50    |24.00     |22.50     |18.00     |7         |6            |6        |0.19      |0.0832    |21.58             |0                              
2023-10-20 |AP401C10400  |2.00        |19.50    |21.50    |13.50    |20.00    |16.00     |18.00     |14.00     |127       |105          |105      |2.35      |0.0560    |22.51             |0                              
2023-10-20 |AP401C10600  |0.50        |8.00     |13.50    |7.50     |12.50    |10.50     |12.00     |10.00     |200       |121          |121      |2.18      |0.0376    |23.41             |0                              
2023-10-20 |AP401C7900   |1,336.00    |1,476.50 |1,476.50 |1,283.00 |1,347.50 |1,339.00  |11.50     |3.00      |40        |0            |0        |53.91     |0.9764    |24.80             |0                              
2023-10-20 |AP401C8000   |1,236.00    |0.00     |0.00     |0.00     |0.00     |1,241.00  |5.00      |5.00      |0         |0            |0        |0.00      |0.9687    |24.33             |0                              
2023-10-20 |AP401C8100   |1,136.00    |0.00     |0.00     |0.00     |0.00     |1,144.50  |8.50      |8.50      |0         |0            |0        |0.00      |0.9576    |23.85             |0                              
2023-10-20 |AP401C8200   |1,036.50    |0.00     |0.00     |0.00     |0.00     |1,049.00  |12.50     |12.50     |0         |0            |0        |0.00      |0.9445    |23.37             |0                              
2023-10-20 |AP401C8300   |938.00      |0.00     |0.00     |0.00     |0.00     |954.50    |16.50     |16.50     |0         |0            |0        |0.00      |0.9282    |22.90             |0                              
2023-10-20 |AP401C8400   |841.00      |0.00     |0.00     |0.00     |0.00     |862.00    |21.00     |21.00     |0         |0            |0        |0.00      |0.9071    |22.42             |0                              
2023-10-20 |AP401C8500   |746.00      |0.00     |0.00     |0.00     |0.00     |771.00    |25.00     |25.00     |0         |0            |0        |0.00      |0.8822    |21.95             |0                              
2023-10-20 |AP401C8600   |654.00      |0.00     |0.00     |0.00     |0.00     |683.00    |29.00     |29.00     |0         |0            |0        |0.00      |0.8522    |21.49             |0                              
2023-10-20 |AP401C8700   |565.50      |0.00     |0.00     |0.00     |0.00     |598.50    |33.00     |33.00     |0         |0            |0        |0.00      |0.8148    |21.03             |0                              
2023-10-20 |AP401C8800   |481.50      |0.00     |0.00     |0.00     |0.00     |517.50    |36.00     |36.00     |0         |0            |0        |0.00      |0.7714    |20.59             |0                              
2023-10-20 |AP401C8900   |404.00      |0.00     |0.00     |0.00     |0.00     |440.50    |36.50     |36.50     |0         |0            |0        |0.00      |0.7217    |20.16             |0                              
2023-10-20 |AP401C9000   |332.50      |381.00   |381.00   |381.00   |381.00   |368.50    |48.50     |36.00     |1         |1            |1        |0.38      |0.6652    |19.77             |0                              
2023-10-20 |AP401C9100   |269.00      |0.00     |0.00     |0.00     |0.00     |304.50    |35.50     |35.50     |0         |0            |0        |0.00      |0.6019    |19.42             |0                              
2023-10-20 |AP401C9200   |213.00      |213.00   |264.00   |213.00   |244.00   |247.00    |31.00     |34.00     |14        |12           |12       |3.14      |0.5344    |19.14             |0                              
2023-10-20 |AP401C9300   |165.50      |207.00   |218.00   |198.50   |202.00   |197.50    |36.50     |32.00     |40        |20           |20       |8.18      |0.4652    |18.95             |0                              
2023-10-20 |AP401C9400   |125.50      |167.00   |175.00   |152.00   |161.50   |156.00    |36.00     |30.50     |87        |65           |65       |14.14     |0.3972    |18.88             |0                              
2023-10-20 |AP401C9500   |93.50       |105.00   |150.00   |105.00   |128.00   |122.00    |34.50     |28.50     |401       |289          |289      |48.85     |0.3335    |18.95             |0                              
2023-10-20 |AP401C9600   |68.00       |158.00   |158.00   |52.00    |100.00   |95.50     |32.00     |27.50     |199       |182          |182      |20.08     |0.2762    |19.14             |0                              
2023-10-20 |AP401C9700   |48.00       |82.00    |85.50    |74.00    |79.50    |75.00     |31.50     |27.00     |35        |14           |14       |2.81      |0.2273    |19.43             |0                              
2023-10-20 |AP401C9800   |33.50       |83.00    |85.00    |51.50    |70.00    |60.00     |36.50     |26.50     |608       |457          |457      |39.54     |0.1870    |19.80             |0                              
2023-10-20 |AP401C9900   |22.50       |46.00    |54.00    |40.50    |51.50    |47.50     |29.00     |25.00     |96        |44           |44       |4.75      |0.1529    |20.22             |0                              
2023-10-20 |AP401P10000  |777.00      |1,607.50 |1,607.50 |266.00   |766.00   |801.50    |-11.00    |24.50     |4         |1            |1        |3.44      |-0.8740   |20.66             |0                              
2023-10-20 |AP401P10200  |968.50      |0.00     |0.00     |0.00     |0.00     |988.00    |19.50     |19.50     |0         |0            |0        |0.00      |-0.9160   |21.58             |0                              
2023-10-20 |AP401P10400  |1,165.00    |0.00     |0.00     |0.00     |0.00     |1,179.50  |14.50     |14.50     |0         |0            |0        |0.00      |-0.9439   |22.51             |0                              
2023-10-20 |AP401P10600  |1,364.00    |0.00     |0.00     |0.00     |0.00     |1,374.00  |10.00     |10.00     |0         |0            |0        |0.00      |-0.9630   |23.41             |0                              
2023-10-20 |AP401P7900   |0.50        |8.00     |8.00     |5.50     |6.50     |7.00      |6.00      |6.50      |110       |77           |77       |0.68      |-0.0243   |24.80             |0                              
2023-10-20 |AP401P8000   |0.50        |5.00     |13.00    |5.00     |10.00    |9.50      |9.50      |9.00      |1,119     |963          |963      |10.67     |-0.0317   |24.33             |0                              
2023-10-20 |AP401P8100   |1.00        |12.50    |13.50    |11.50    |12.50    |13.00     |11.50     |12.00     |170       |170          |170      |2.08      |-0.0423   |23.85             |0                              
2023-10-20 |AP401P8200   |2.00        |16.00    |17.50    |16.00    |17.00    |17.00     |15.00     |15.00     |41        |41           |41       |0.69      |-0.0550   |23.37             |0                              
2023-10-20 |AP401P8300   |3.50        |17.50    |23.50    |15.50    |22.00    |22.50     |18.50     |19.00     |75        |60           |60       |1.69      |-0.0709   |22.90             |0                              
2023-10-20 |AP401P8400   |6.50        |28.50    |28.50    |26.50    |26.50    |30.00     |20.00     |23.50     |45        |39           |39       |1.26      |-0.0916   |22.42             |0                              
2023-10-20 |AP401P8500   |11.50       |60.00    |60.00    |33.50    |35.50    |39.00     |24.00     |27.50     |549       |398          |398      |20.57     |-0.1162   |21.95             |0                              
2023-10-20 |AP401P8600   |19.50       |48.00    |49.00    |45.00    |45.00    |50.50     |25.50     |31.00     |40        |38           |38       |1.89      |-0.1460   |21.49             |0                              
2023-10-20 |AP401P8700   |31.00       |61.00    |61.00    |55.00    |55.00    |65.50     |24.00     |34.50     |8         |8            |8        |0.48      |-0.1831   |21.03             |0                              
2023-10-20 |AP401P8800   |47.00       |124.50   |168.00   |72.50    |75.00    |84.50     |28.00     |37.50     |706       |447          |447      |63.79     |-0.2262   |20.59             |0                              
2023-10-20 |AP401P8900   |68.50       |99.00    |99.00    |99.00    |99.00    |107.50    |30.50     |39.00     |2         |2            |2        |0.20      |-0.2758   |20.16             |0                              
2023-10-20 |AP401P9000   |97.50       |140.00   |142.50   |120.00   |125.50   |135.50    |28.00     |38.00     |116       |56           |56       |14.81     |-0.3322   |19.77             |0                              
2023-10-20 |AP401P9100   |133.00      |186.00   |186.00   |159.00   |161.00   |170.50    |28.00     |37.50     |57        |51           |51       |9.16      |-0.3954   |19.42             |0                              
2023-10-20 |AP401P9200   |177.00      |125.50   |277.50   |125.50   |199.00   |213.00    |22.00     |36.00     |80        |68           |68       |16.34     |-0.4628   |19.14             |0                              
2023-10-20 |AP401P9300   |229.00      |283.00   |283.00   |246.00   |257.50   |263.00    |28.50     |34.00     |6         |2            |2        |1.55      |-0.5320   |18.95             |0                              
2023-10-20 |AP401P9400   |289.00      |0.00     |0.00     |0.00     |0.00     |321.50    |32.50     |32.50     |0         |0            |0        |0.00      |-0.6001   |18.88             |0                              
2023-10-20 |AP401P9500   |356.50      |0.00     |0.00     |0.00     |0.00     |387.50    |31.00     |31.00     |0         |0            |0        |0.00      |-0.6639   |18.95             |0                              
2023-10-20 |AP401P9600   |431.00      |0.00     |0.00     |0.00     |0.00     |460.50    |29.50     |29.50     |0         |0            |0        |0.00      |-0.7214   |19.14             |0                              
2023-10-20 |AP401P9700   |511.00      |0.00     |0.00     |0.00     |0.00     |540.00    |29.00     |29.00     |0         |0            |0        |0.00      |-0.7705   |19.43             |0                              
2023-10-20 |AP401P9800   |596.00      |0.00     |0.00     |0.00     |0.00     |624.50    |28.50     |28.50     |0         |0            |0        |0.00      |-0.8110   |19.80             |0                              
2023-10-20 |AP401P9900   |685.00      |0.00     |0.00     |0.00     |0.00     |711.50    |26.50     |26.50     |0         |0            |0        |0.00      |-0.8454   |20.22             |0                              
2023-10-20 |AP403C10000  |78.50       |0.00     |0.00     |0.00     |0.00     |70.50     |-8.00     |-8.00     |0         |0            |0        |0.00      |0.1743    |16.00             |0                              
2023-10-20 |AP403C10200  |50.50       |0.00     |0.00     |0.00     |0.00     |44.50     |-6.00     |-6.00     |0         |0            |0        |0.00      |0.1199    |16.00             |0                              
2023-10-20 |AP403C10400  |31.00       |0.00     |0.00     |0.00     |0.00     |27.50     |-3.50     |-3.50     |0         |0            |0        |0.00      |0.0801    |16.00             |0                              
2023-10-20 |AP403C10600  |18.50       |0.00     |0.00     |0.00     |0.00     |16.50     |-2.00     |-2.00     |0         |0            |0        |0.00      |0.0516    |16.00             |0                              
2023-10-20 |AP403C8000   |1,260.50    |0.00     |0.00     |0.00     |0.00     |1,223.50  |-37.00    |-37.00    |0         |0            |0        |0.00      |0.9594    |16.00             |0                              
2023-10-20 |AP403C8100   |1,165.50    |0.00     |0.00     |0.00     |0.00     |1,129.50  |-36.00    |-36.00    |0         |0            |0        |0.00      |0.9430    |16.00             |0                              
2023-10-20 |AP403C8200   |1,072.50    |0.00     |0.00     |0.00     |0.00     |1,037.00  |-35.50    |-35.50    |0         |0            |0        |0.00      |0.9236    |16.00             |0                              
2023-10-20 |AP403C8300   |982.50      |0.00     |0.00     |0.00     |0.00     |947.50    |-35.00    |-35.00    |0         |0            |0        |0.00      |0.8993    |16.00             |0                              
2023-10-20 |AP403C8400   |894.50      |0.00     |0.00     |0.00     |0.00     |861.00    |-33.50    |-33.50    |0         |0            |0        |0.00      |0.8710    |16.00             |0                              
