Data        | C1   | C2    | C3    | C4
12/19/2025  |      | 3%    |       | 
11/19/2025  | —    | 3%    | 3%    | 3%
10/19/2025  | —    | 3%    | 3%    | 3%
9/21/2025   | —    | 3%    | 3%    | 3%
8/19/2025   | —    | 3%    | 3%    | 3%
7/20/2025   | —    | 3%    | 3%    | 3%
6/19/2025   | —    | 3%    | 3%    | 3%
5/19/2025   | —    | 3%    | 3%    | 3.1%
4/20/2025   | —    | 3.1%  | 3.1%  | 3.1%
3/19/2025   | —    | 3.1%  | 3.1%  | 3.1%
2/19/2025   | —    | 3.1%  | 3.1%  | 3.1%
1/19/2025   | —    | 3.1%  | 3.1%  | 3.1%
12/19/2024  | —    | 3.1%  | 3.1%  | 3.1%
11/19/2024  | —    | 3.1%  | 3.1%  | 3.1%
10/20/2024  | —    | 3.1%  | 3.15% | 3.35%
9/19/2024   | —    | 3.35% | 3.35% | 3.35%
8/19/2024   | —    | 3.35% | 3.35% | 3.35%
7/21/2024   | —    | 3.35% | 3.45% | 3.45%
6/19/2024   | —    | 3.45% | 3.45% | 3.45%
5/19/2024   | —    | 3.45% | 3.45% | 3.45%
4/21/2024   | —    | 3.45% | 3.45% | 3.45%
3/19/2024   | —    | 3.45% | 3.45% | 3.45%
2/19/2024   | —    | 3.45% | 3.3%  | 3.45%
1/21/2024   | —    | 3.45% | —     | 3.45%
12/19/2023  | —    | 3.45% | —     | 3.45%
11/19/2023  | —    | 3.45% | 3.45% | 3.45%
10/19/2023  | —    | 3.45% | 3.45% | 3.45%
9/19/2023   | —    | 3.45% | 3.45% | 3.45%
8/20/2023   | —    | 3.45% | —     | 3.55%
7/19/2023   | —    | 3.55% | 3.55% | 3.55%
6/19/2023   | —    | 3.55% | 3.55% | 3.65%
5/21/2023   | —    | 3.65% | 3.65% | 3.65%
4/19/2023   | —    | 3.65% | 3.65% | 3.65%
3/19/2023   | —    | 3.65% | 3.65% | 3.65%
2/19/2023   | —    | 3.65% | 3.65% | 3.65%
1/19/2023   | —    | 3.65% | 3.65% | 3.65%
12/19/2022  | —    | 3.65% | 3.65% | 3.65%
11/20/2022  | —    | 3.65% | —     | 3.65%
10/19/2022  | —    | 3.65% | —     | 3.65%
9/19/2022   | —    | 3.65% | 3.65% | 3.65%
8/21/2022   | —    | 3.65% | —     | 3.7%
7/19/2022   | —    | 3.7%  | —     | 3.7%
6/19/2022   | —    | 3.7%  | 3.7%  | 3.7%
5/19/2022   | —    | 3.7%  | —     | 3.7%
4/19/2022   | —    | 3.7%  | —     | 3.7%
3/20/2022   | —    | 3.7%  | —     | 3.7%
2/20/2022   | —    | 3.7%  | 3.7%  | 3.7%
1/19/2022   | —    | 3.7%  | —     | 3.8%
12/19/2021  | —    | 3.8%  | —     | 3.85%
11/21/2021  | —    | 3.85% | —     | 3.85%
10/19/2021  | —    | 3.85% | —     | 3.85%
9/21/2021   | —    | 3.85% | —     | 3.85%
8/19/2021   | —    | 3.85% | —     | 3.85%
7/19/2021   | —    | 3.85% | —     | 3.85%
6/20/2021   | —    | 3.85% | —     | 3.85%
5/19/2021   | —    | 3.85% | —     | 3.85%
4/19/2021   | —    | 3.85% | 3.85% | 3.85%
3/21/2021   | —    | 3.85% | —     | 3.85%
2/19/2021   | —    | 3.85% | —     | 3.85%
1/19/2021   | —    | 3.85% | —     | 3.85%
12/20/2020  | —    | 3.85% | 3.85% | 3.85%
11/19/2020  | —    | 3.85% | —     | 3.85%
10/19/2020  | —    | 3.85% | 3.85% | 3.85%
9/20/2020   | —    | 3.85% | 3.85% | 3.85%
8/19/2020   | —    | 3.85% | —     | 3.85%
7/19/2020   | —    | 3.85% | 3.85% | 3.85%
6/21/2020   | —    | 3.85% | —     | 3.85%
5/19/2020   | —    | 3.85% | 3.85% | 3.85%
4/19/2020   | —    | 3.85% | 3.85% | 4.05%
3/19/2020   | —    | 4.05% | —     | 4.05%
2/19/2020   | —    | 4.05% | —     | 4.15%
1/19/2020   | —    | 4.15% |       |
